date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:37	11238/11238	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:39%20GMT	https://rootgaming.site/tools/	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/index.html	(from )
20:59:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2001:59:39%20GMT	https://rootgaming.site/robots.txt		(from )
20:59:39	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%2241d394990448b2c2b1afe840e837dc8e%22	https://use.fontawesome.com/releases/v5.11.2/css/all.css	C:/Users/juanb/OneDrive/Escritorio/test/1/use.fontawesome.com/releases/v5.11.2/css/all.css	(from https://rootgaming.site/tools/)
20:59:39	804/804	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2001:59:42%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap	C:/Users/juanb/OneDrive/Escritorio/test/1/fonts.googleapis.com/css26c6c.css	(from https://rootgaming.site/tools/)
20:59:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2001:59:42%20GMT	https://rootgaming.site/tools/css/style.css	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/style.css	(from https://rootgaming.site/tools/)
20:59:40	294237/294237	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2020:12:44%20GMT	https://rootgaming.site/tools/css/mdb.min.css	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/mdb.min.css	(from https://rootgaming.site/tools/)
20:59:41	88585/88585	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202022%2012:22:32%20GMT	https://rootgaming.site/tools/css/bootstrap-icons/bootstrap-icons.css	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/bootstrap-icons/bootstrap-icons.css	(from https://rootgaming.site/tools/)
20:59:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2001:59:43%20GMT	https://rootgaming.site/tools/css/bootstrap-icons/boxicons.min.css	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/bootstrap-icons/boxicons.min.css	(from https://rootgaming.site/tools/)
20:59:42	11238/11238	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:44%20GMT	https://rootgaming.site/tools/index.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/index.html	(from https://rootgaming.site/tools/)
20:59:44	415285/415285	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:44%20GMT	https://www.youtube.com/c/juanYTOFICIAL/featured	C:/Users/juanb/OneDrive/Escritorio/test/1/index.html	(from https://rootgaming.site/tools/)
20:59:44	200448/200448	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Nov%202022%2007:12:04%20GMT	https://rootgaming.site/tools/img/52829-programacion.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/52829-programacion.jpg	(from https://rootgaming.site/tools/)
20:59:45	4506/4506	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:47%20GMT	https://rootgaming.site/tools/contacto.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/contacto.html	(from https://rootgaming.site/tools/)
20:59:46	9775/9775	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:47%20GMT	https://rootgaming.site/tools/dweb.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/dweb.html	(from https://rootgaming.site/tools/)
